Roll_No,Total_Enrolled,Total_Released,Total_Present,Total_Absent,Rows,Bad_Rows,Effective_Enrolled,Attendance_Percent,Proxy_Soft_Outlier,Proxy_Row_Score,Proxy_Row_Incidents,Proxy_Row_Reasons_Collected,Proxy_Risk_Score,Proxy_Reasons
487,476,0,446,30,1,0,476,93.69747899159664,FALSE,0,0,[],0,None
488,476,0,450,26,1,0,476,94.53781512605042,FALSE,0,0,[],0,None
489,476,0,452,24,1,0,476,94.95798319327731,FALSE,0,0,[],0,None
490,477,0,447,30,1,0,477,93.71069182389937,FALSE,0,0,[],0,None
491,477,0,439,38,1,0,477,92.03354298,FALSE,0,0,[],0,None
492,477,0,431,46,1,0,477,90.35639412997904,FALSE,0,0,[],0,None
493,477,0,440,37,1,0,477,92.24318658280923,FALSE,0,0,[],0,None
494,478,0,442,36,1,0,478,92.46861924686192,FALSE,0,0,[],0,None
495,478,0,432,46,1,0,478,90.37656904,FALSE,0,0,[],0,None
496,480,0,441,39,1,0,480,91.875,FALSE,0,0,[],0,None
497,480,0,452,28,1,0,480,94.16666666666667,FALSE,0,0,[],0,None
498,480,0,458,22,1,0,480,95.41666666666667,FALSE,0,0,[],0,None
499,480,0,459,21,1,0,480,95.625,FALSE,0,0,[],0,None
500,480,0,437,43,1,0,480,91.04166666666667,FALSE,0,0,[],0,None
501,481,0,459,22,1,0,481,95.42619542619542,FALSE,0,0,[],0,None
502,480,0,459,21,1,0,480,95.625,FALSE,0,0,[],0,None
503,480,0,451,29,1,0,480,93.95833333333333,FALSE,0,0,[],0,None
504,480,0,458,22,1,0,480,95.41666666666667,FALSE,0,0,[],0,None
505,480,0,443,37,1,0,480,92.29166666666667,FALSE,0,0,[],0,None
506,480,0,435,45,1,0,480,90.625,FALSE,0,0,[],0,None
507,480,0,437,43,1,0,480,91.04166666666667,FALSE,0,0,[],0,None
508,480,0,453,27,1,0,480,94.375,FALSE,0,0,[],0,None
509,480,0,446,34,1,0,480,92.91666666666667,FALSE,0,0,[],0,None
510,480,0,430,50,1,0,480,89.58333333333333,FALSE,0,0,[],0,None
511,481,0,455,26,1,0,481,94.59459459,FALSE,0,0,[],0,None
512,481,0,445,36,1,0,481,92.51559251559252,FALSE,0,0,[],0,None
513,481,0,459,22,1,0,481,95.42619542619542,FALSE,0,0,[],0,None
514,481,0,430,51,1,0,481,89.3970894,FALSE,0,0,[],0,None
515,481,0,442,39,1,0,481,91.89189189189189,FALSE,0,0,[],0,None
516,481,0,425,56,1,0,481,88.35758835758836,FALSE,0,0,[],0,None
